,Feature,Beta,Count
0,LH_Limbic_TempPole_2__LH_DorsAttn_Post_2,0.00046443331557403456,1.0
1,RH_SomMot_6__LH_Default_PFC_3,0.00031329738258624554,1.0
2,RH_Vis_3__LH_DorsAttn_Post_2,0.00021626989487328702,1.0
3,RH_DorsAttn_PrCv_1__RH_DorsAttn_Post_4,0.0001665025413621315,1.0
4,RH_DorsAttn_Post_1__LH_SalVentAttn_FrOperIns_1,0.00017697978847320913,1.0
5,RH_SomMot_2__LH_Vis_1,0.00035623480830339316,1.0
6,RH_Default_Temp_1__RH_Cont_Par_1,0.0006555110335356809,1.0
7,RH_Cont_Par_1__RH_Limbic_TempPole_1,0.00030181013787192694,1.0
8,RH_DorsAttn_Post_1__RH_SomMot_7,7.082418970387808e-05,1.0
9,RH_Limbic_TempPole_1__LH_SalVentAttn_ParOper_1,0.0005711683035959625,1.0
10,RH_DorsAttn_Post_5__LH_Limbic_TempPole_2,0.00013796593467646533,1.0
11,LH_Default_pCunPCC_1__LH_Vis_7,0.0006610391255284326,1.0
12,RH_Default_PFCdPFCm_2__RH_Cont_Par_1,0.00038638462186701104,1.0
13,LH_Default_PFC_7__LH_Default_PFC_6,2.6610234223995384e-05,1.0
14,LH_Limbic_OFC_1__LH_Vis_1,8.081099724219908e-05,1.0
15,RH_Cont_pCun_1__LH_DorsAttn_FEF_1,0.00013524604873575382,1.0
16,RH_Default_PFCv_2__RH_SomMot_4,1.5287471627547103e-05,1.0
17,RH_Default_PFCdPFCm_3__LH_DorsAttn_Post_3,1.2406650658068083e-05,1.0
18,RH_Default_pCunPCC_1__RH_SalVentAttn_Med_2,0.0005493991805916923,1.0
19,RH_Cont_Par_2__LH_Default_PFC_7,8.020736299524557e-05,1.0
20,RH_SalVentAttn_Med_2__LH_Default_pCunPCC_1,9.815502726475706e-05,1.0
21,LH_Default_pCunPCC_2__LH_Default_PFC_7,8.016209201907759e-05,1.0
22,RH_Default_pCunPCC_1__RH_SomMot_6,0.0005251573844054171,1.0
23,RH_Cont_pCun_1__LH_DorsAttn_Post_2,2.532124510880334e-05,1.0
24,RH_Vis_3__LH_Limbic_TempPole_2,0.0007958524965619333,1.0
25,RH_Default_Temp_3__RH_Vis_1,0.0001833263137133295,1.0
26,RH_Cont_Cing_1__LH_Cont_Par_1,6.636353839627189e-05,1.0
27,RH_Cont_Par_2__LH_Limbic_TempPole_2,0.00022000927361968573,1.0
28,RH_Default_pCunPCC_1__RH_SomMot_8,0.0011712848880710274,1.0
29,RH_DorsAttn_PrCv_1__LH_DorsAttn_PrCv_1,4.384719015398592e-05,1.0
30,RH_Default_pCunPCC_2__LH_Default_PFC_7,0.0004749630065143113,1.0
31,LH_Default_pCunPCC_1__LH_DorsAttn_Post_6,0.002039541931441754,1.0
32,RH_Default_Temp_3__LH_Default_PFC_6,6.521023501099582e-05,1.0
33,RH_DorsAttn_Post_2__LH_Limbic_TempPole_2,7.952638511398786e-05,1.0
34,RH_Limbic_TempPole_1__RH_DorsAttn_Post_5,0.00018081713750595928,1.0
35,LH_Limbic_TempPole_2__LH_SalVentAttn_FrOperIns_1,0.0008188434017054248,1.0
36,LH_DorsAttn_Post_5__LH_DorsAttn_Post_4,5.2932138465190235e-05,1.0
37,RH_Cont_PFCl_3__RH_SomMot_8,0.0002794594198019218,1.0
38,RH_Cont_PFCl_3__RH_SomMot_7,0.00027182911628612566,1.0
39,RH_Cont_PFCl_3__LH_DorsAttn_Post_4,0.00013322135887400608,1.0
40,RH_DorsAttn_PrCv_1__LH_Default_PFC_5,0.0004699015590237161,1.0
41,RH_SalVentAttn_FrOperIns_1__RH_DorsAttn_FEF_1,0.0002853849027657646,1.0
42,LH_SalVentAttn_PFCl_1__LH_SomMot_5,0.0001667158834242108,1.0
43,RH_DorsAttn_PrCv_1__RH_Vis_3,0.0001700007758485883,1.0
44,RH_Limbic_TempPole_1__LH_Default_PFC_6,0.00023054111325116652,1.0
45,RH_SalVentAttn_TempOccPar_2__LH_DorsAttn_Post_2,7.999033276434724e-06,1.0
46,RH_Cont_pCun_1__LH_DorsAttn_PrCv_1,5.2699240226471004e-05,1.0
47,RH_SalVentAttn_TempOccPar_1__RH_Vis_8,0.00019146694785833536,1.0
48,LH_Default_PFC_6__LH_SalVentAttn_PFCl_1,2.2031164729315844e-05,1.0
49,RH_Vis_1__LH_Default_Temp_2,0.0001566892117906564,1.0
50,RH_Default_Temp_3__LH_SalVentAttn_PFCl_1,0.00039775784676227715,1.0
51,RH_SalVentAttn_Med_2__LH_SalVentAttn_ParOper_1,3.512860294976638e-05,1.0
52,RH_Default_Par_1__LH_DorsAttn_Post_5,0.00029857736196240575,1.0
53,RH_SomMot_6__LH_Default_PFC_7,0.00030710555886753944,1.0
54,RH_Default_Temp_3__LH_Default_PFC_1,0.000511577448724106,1.0
55,RH_Cont_PFCl_3__LH_SomMot_5,0.00040240114269474647,1.0
56,RH_DorsAttn_FEF_1__RH_DorsAttn_Post_1,0.000788449410640788,1.0
57,RH_Cont_Par_1__LH_DorsAttn_Post_4,0.0004703776941242817,1.0
58,RH_SalVentAttn_TempOccPar_2__RH_DorsAttn_Post_1,0.0005094521962518824,1.0
59,RH_DorsAttn_FEF_1__LH_SalVentAttn_FrOperIns_2,0.006501285285791093,1.0
60,RH_SomMot_6__LH_Default_pCunPCC_1,0.0008696245182296717,2.0
61,LH_SomMot_6__LH_Vis_1,0.001656338362019178,2.0
62,RH_Default_Par_1__RH_Vis_1,0.0004886877442890921,2.0
63,RH_DorsAttn_Post_1__LH_SalVentAttn_Med_2,0.000982442555959943,2.0
64,RH_Default_PFCdPFCm_2__RH_Vis_1,0.00017381423549414738,2.0
65,RH_Default_Temp_1__RH_Vis_1,0.0004407851228300478,2.0
66,RH_DorsAttn_PrCv_1__LH_Default_PFC_3,0.000756390378761706,2.0
67,LH_DorsAttn_Post_4__LH_Vis_9,4.812230842852708e-05,2.0
68,RH_SalVentAttn_Med_1__RH_DorsAttn_Post_1,0.003183163201831391,2.0
69,RH_Cont_pCun_1__RH_DorsAttn_Post_4,0.0002597371939401529,2.0
70,LH_Default_pCunPCC_1__LH_SomMot_1,0.00112252658875767,2.0
71,RH_Cont_pCun_1__LH_DorsAttn_Post_4,0.0002489787781173495,2.0
72,RH_Cont_PFCl_3__LH_DorsAttn_Post_6,0.00033841326650022757,2.0
73,RH_SomMot_8__LH_Default_PFC_7,0.0020941799567109898,2.0
74,RH_DorsAttn_Post_5__RH_DorsAttn_Post_1,0.0031918987483596814,2.0
75,RH_Default_Par_1__LH_SalVentAttn_Med_1,3.8933924510634086e-05,2.0
76,RH_DorsAttn_Post_5__LH_Vis_1,0.00823949025791979,2.0
77,RH_Cont_Par_1__RH_DorsAttn_Post_5,0.0005468221739432526,2.0
78,LH_Cont_Cing_1__LH_Cont_Par_1,0.000249684555242111,3.0
79,RH_SomMot_2__LH_Default_PFC_3,0.0017896709430205164,3.0
80,RH_Cont_pCun_1__LH_Default_PFC_6,0.0007117217098565938,3.0
81,LH_Default_PFC_6__LH_Limbic_OFC_1,0.00015170349662652272,3.0
82,RH_DorsAttn_Post_1__LH_DorsAttn_Post_6,0.002269629200441176,3.0
83,RH_Cont_pCun_1__LH_DorsAttn_Post_1,0.0002725075176390908,3.0
84,RH_Default_PFCdPFCm_3__LH_Limbic_TempPole_2,0.000222145384045021,3.0
85,LH_Default_PFC_4__LH_Default_PFC_2,0.00043328650409080513,4.0
86,RH_Limbic_TempPole_1__RH_Vis_1,0.00025313715635527146,4.0
87,RH_Default_Par_1__LH_DorsAttn_Post_1,0.000618808487535995,4.0
88,RH_SalVentAttn_FrOperIns_1__RH_DorsAttn_Post_1,0.001559389562342933,4.0
89,RH_DorsAttn_PrCv_1__LH_Limbic_TempPole_2,0.0037670682570958088,4.0
90,RH_Default_PFCdPFCm_3__LH_DorsAttn_Post_1,0.0007533692605646067,4.0
91,LH_Default_PFC_6__LH_Default_PFC_2,0.0003523813070453415,4.0
92,LH_Default_Temp_1__LH_Limbic_TempPole_1,0.0005122376127396306,4.0
93,LH_Default_PFC_7__LH_Default_PFC_4,0.0009556248201476223,4.0
94,RH_DorsAttn_Post_4__RH_DorsAttn_Post_3,0.0006042684083431188,5.0
95,LH_Default_pCunPCC_2__LH_Limbic_TempPole_2,0.0009309949284751558,5.0
96,RH_Default_PFCdPFCm_3__LH_DorsAttn_Post_5,0.00040428430863418405,5.0
97,RH_Default_Temp_2__RH_Vis_1,0.00031122592329901866,5.0
98,RH_DorsAttn_Post_5__LH_DorsAttn_Post_2,0.00021147982568038074,6.0
99,RH_Cont_Cing_1__RH_Vis_1,0.0017541149898733014,6.0
100,RH_Cont_Par_1__RH_Vis_8,0.0016433426760205645,7.0
101,LH_Default_pCunPCC_1__LH_SomMot_5,0.010375602909916888,7.0
102,RH_DorsAttn_FEF_1__LH_DorsAttn_Post_2,0.0003455742623270314,7.0
103,RH_Cont_Par_1__RH_DorsAttn_Post_4,0.000996330610968102,8.0
104,LH_Default_Temp_2__LH_Limbic_TempPole_2,0.0009855839021096489,9.0
105,LH_Default_PFC_7__LH_Default_PFC_5,0.001046086318473029,10.0
106,RH_Limbic_OFC_1__RH_Vis_1,0.0009089402360077318,10.0
107,LH_Default_PFC_3__LH_SomMot_6,0.00786437544741722,10.0
108,RH_SomMot_7__LH_Limbic_TempPole_2,0.012285527156437458,11.0
109,RH_SomMot_8__LH_Default_PFC_3,0.008358855201393739,12.0
110,LH_DorsAttn_Post_2__LH_Vis_9,0.0016988228480257197,13.0
111,RH_Default_Temp_3__LH_SalVentAttn_Med_1,0.004292833912121437,14.0
112,LH_Default_PFC_6__LH_Default_PFC_4,0.0015527544603874857,14.0
113,RH_Default_Par_1__LH_Cont_Par_1,0.003654628320927828,15.0
114,RH_Default_Temp_2__LH_Default_PFC_6,0.0009289776805464186,15.0
115,LH_Default_PFC_4__LH_Limbic_TempPole_2,0.0021930787892307847,15.0
116,LH_Default_PFC_7__LH_Default_Par_2,0.0017818720798895217,15.0
117,RH_Default_Temp_1__LH_Default_PFC_6,0.0017244066617338142,18.0
118,LH_Default_PFC_6__LH_Default_Par_2,0.0018144545482807644,19.0
119,RH_Cont_pCun_1__LH_Cont_Par_1,0.004519328906392355,19.0
120,RH_Cont_Par_1__LH_DorsAttn_Post_3,0.0028908635189799315,20.0
121,LH_DorsAttn_Post_6__LH_DorsAttn_Post_2,0.0017448476109775683,21.0
122,RH_Cont_Par_1__LH_DorsAttn_Post_1,0.003601556139424221,22.0
123,RH_Default_Par_1__LH_Default_PFC_6,0.0020783238258850305,22.0
124,LH_Default_Par_2__LH_Limbic_TempPole_2,0.0037189006420260146,22.0
125,LH_Default_PFC_5__LH_Limbic_TempPole_2,0.0021835177559225913,23.0
126,RH_Cont_Par_2__LH_Cont_Par_1,0.002575227371468835,23.0
127,RH_SomMot_2__LH_Default_pCunPCC_1,0.08408808934077652,23.0
128,LH_Default_PFC_7__LH_Cont_Cing_1,0.00576468249206822,23.0
129,RH_Vis_1__LH_Limbic_OFC_1,0.003719543963713902,23.0
130,RH_Default_pCunPCC_1__LH_SomMot_6,0.01052639995404251,23.0
131,LH_Default_PFC_7__LH_SalVentAttn_PFCl_1,0.00306706797618301,23.0
132,RH_DorsAttn_Post_5__LH_Limbic_TempPole_1,0.02719906592538504,24.0
133,RH_Default_PFCdPFCm_3__LH_Cont_Par_1,0.012048700880333918,25.0
134,LH_Default_PFC_6__LH_Default_PFC_1,0.006007845684862036,26.0
135,RH_Default_PFCv_2__RH_Vis_1,0.011226718365787385,27.0
136,RH_Default_PFCv_1__RH_Cont_Par_1,0.03989553619485393,27.0
137,RH_DorsAttn_FEF_1__LH_SalVentAttn_ParOper_1,0.004062033685149959,28.0
138,RH_Cont_Cing_1__LH_Default_PFC_7,0.01597162211384491,28.0
139,LH_Default_PFC_6__LH_Limbic_TempPole_1,0.009508755684295172,28.0
140,LH_Default_PFC_7__LH_Limbic_TempPole_2,0.0035405786472195687,28.0
141,RH_Default_PFCdPFCm_3__LH_Default_Par_2,0.0068639561072018586,29.0
142,RH_Cont_pCun_1__LH_DorsAttn_Post_3,0.003768410311745012,30.0
143,RH_Default_Par_1__LH_Default_PFC_7,0.006914924337545479,31.0
144,RH_SomMot_8__LH_Default_pCunPCC_1,0.1183013934181615,32.0
145,RH_DorsAttn_Post_1__LH_SomMot_6,0.10816145919479335,32.0
146,RH_Cont_Par_1__LH_Limbic_OFC_1,0.027320973905455948,32.0
147,RH_Default_Temp_3__LH_SalVentAttn_Med_3,0.01167402751285213,33.0
148,LH_Default_pCunPCC_1__LH_SomMot_6,0.3175917948913832,33.0
149,LH_Default_PFC_6__LH_Limbic_TempPole_2,0.006282967158332356,34.0
