Subject,VMPFC_VSTR,M1_R_VSTR,M1_R_VMPFC,M1_L_VSTR,M1_L_VMPFC,M1_L_M1_R,SMA_R_VSTR,SMA_R_VMPFC,SMA_R_M1_R,SMA_R_M1_L,SMA_L_VSTR,SMA_L_VMPFC,SMA_L_M1_R,SMA_L_M1_L,SMA_L_SMA_R,preSMA_R_VSTR,preSMA_R_VMPFC,preSMA_R_M1_R,preSMA_R_M1_L,preSMA_R_SMA_R,preSMA_R_SMA_L,preSMA_L_VSTR,preSMA_L_VMPFC,preSMA_L_M1_R,preSMA_L_M1_L,preSMA_L_SMA_R,preSMA_L_SMA_L,preSMA_L_preSMA_R
102,0.1019215,0.1007215,0.06833624,0.09175085,0.0506014,0.9002594,0.03522961,0.00961409,0.5515915,0.5564993,0.01009553,-0.02208834,0.5434508,0.564434,0.4252118,0.04672771,0.09738173,0.2775095,0.353661,0.4526026,0.3208984,0.1571174,-0.008965186,0.1803168,0.2633067,0.16128,0.3216951,0.4781628
105,0.09012602,0.02789264,0.03041215,0.003502491,-0.00288558,0.6149805,-0.08714957,-0.1094537,0.331073,0.1238495,-0.06661503,-0.1085572,0.3597935,0.3013383,0.6448925,-0.06612123,0.07580812,0.05618194,-0.1167392,0.4137167,0.2094585,-0.03369224,0.07563355,0.07606986,-0.1381375,0.1264839,0.1395715,0.3429236
107,0.2393258,0.1595581,0.2309835,0.2016217,0.2323356,0.5670309,0.1938628,0.1192331,0.5148097,0.4239056,0.2897947,0.2739976,0.5425431,0.4397464,0.5344141,0.2924861,-0.05109901,0.275703,0.111611,0.5057045,0.3614436,0.1840608,0.04194525,0.3105295,0.2363416,0.4095583,0.452054,0.5801318
108,0.1647572,0.2396254,0.1193811,0.3136145,0.1932769,0.5410591,0.09335441,-0.04470539,0.3359258,0.3478024,0.2089574,-0.01844342,0.3453668,0.5342761,0.6301922,0.1476711,-0.2165983,0.1641531,0.2396825,0.6167458,0.5569995,0.181794,-0.04089447,0.3266531,0.401144,0.5592771,0.6020164,0.7253961
109,0.1718362,-0.08743568,0.2407977,0.0523904,0.2893945,0.6148182,-0.06114368,0.4295737,0.811478,0.5074776,-0.08405551,0.3554545,0.6140871,0.3924223,1.194392,0.004662316,0.4306759,0.4386679,0.1740865,0.7605381,0.7899608,0.1754795,0.1401334,0.3819776,0.2642074,0.3541798,0.2699926,0.4740902
110,0.1964687,-0.03155911,0.1679045,-0.009564863,-0.001752093,0.3028439,0.05685773,-0.04449499,0.1951634,0.2980033,0.0565938,-0.001224411,0.1644432,0.3252561,0.3557662,-0.08830348,-0.3363815,0.0492257,0.1750638,0.2477214,0.2025411,0.07645021,0.1238606,0.2226103,0.1835844,0.1125432,0.2003086,0.01266248
111,0.1099219,0.01122198,-0.4075432,-0.0491618,-0.005795102,0.3567074,0.07170566,-0.4145033,0.8068929,0.1966534,0.04443139,-0.2930324,0.5202518,0.2487749,0.9930702,0.08447605,-0.2887349,0.621807,0.2472764,0.823887,0.6979438,0.02784803,0.05640348,0.209382,0.2064575,0.2004121,0.316246,0.5021265
112,0.2615225,0.1750017,-0.004637771,0.1169052,-0.06745161,1.034115,0.1407542,0.1766547,0.4164099,0.1872066,0.1516301,0.1118623,0.3967966,0.2020096,0.9603128,0.1800086,0.0565716,0.5313084,0.3654282,0.7787932,0.757065,0.1061464,0.07696975,0.4138012,0.2654899,0.7237859,0.8083067,0.8333327
113,0.253609,0.1569583,0.2468201,0.1348337,0.102088,0.9294645,0.1320444,0.07999926,0.7669922,0.7903259,0.1150019,0.07367888,0.7543678,0.7267185,0.7600014,0.2439357,-0.01092677,0.2935593,0.3550101,0.555714,0.2570601,0.2809965,0.2389697,0.4895938,0.3883885,0.3701271,0.3957905,0.4093926
114,0.0897778,0.116268,-0.05230217,0.06308671,-0.09252681,0.3624566,0.09540109,-0.04207562,0.01947078,0.06819175,0.05498273,-0.1254005,0.1177774,0.3563941,0.5183851,0.1214473,-0.2740305,0.07426564,0.1405221,0.2068709,0.2814189,0.09525969,-0.1155017,0.04436849,0.1302626,0.01906154,0.2560432,0.6964395
115,0.2900379,0.2185774,0.3486507,0.2245938,0.3159318,0.9421943,0.1498175,0.2840265,0.7649649,0.6324069,0.1944346,0.317341,0.7560961,0.7816591,0.70201,0.02000687,-0.06664518,-0.04427251,-0.103243,0.2200514,0.09846486,0.2087925,0.3057715,0.2055311,0.1651635,0.2490161,0.3424866,0.3160099
116,0.1506186,0.2674304,-0.06303067,0.2069485,0.1655425,0.5218545,0.2875807,0.1958004,0.5784822,0.5445753,0.2606381,0.08181771,0.492179,0.412828,0.6317291,0.2997153,-0.1750559,0.5662552,0.3224224,0.4057567,0.647008,0.1453553,-0.1402795,0.4051277,0.287027,0.3767567,0.5277022,0.4511449
117,0.01628425,-0.02319204,0.01451715,-0.1093311,0.08220842,0.1756242,0.09985646,-0.0762241,0.4795789,0.3589253,-0.004265834,-0.1517192,0.292345,0.4699523,0.6884574,-0.03965041,-0.467514,0.359059,0.2097137,0.461763,0.3927131,0.02467113,-0.2830721,0.2027928,0.1877161,0.3839662,0.5031285,0.5429357
118,0.08648094,0.2098649,0.3125981,0.1421177,0.4098114,0.9028232,0.2055819,0.2163738,0.6831008,0.602706,0.1981166,0.1653725,0.664958,0.6194024,1.084845,0.2007507,-0.06347906,0.4192639,0.3254716,0.6792242,0.569173,0.2078987,0.1717089,0.4092626,0.3200357,0.5593905,0.6374391,0.6194842
120,0.3707684,0.224114,0.3832124,0.1244995,0.2342264,0.4755733,0.2135196,0.2071689,0.5803194,0.5405689,0.1748471,0.204625,0.4986698,0.6143015,0.721654,0.1584518,0.06045249,0.2784093,0.3511727,0.5996162,0.4924785,0.1202146,0.0840959,0.292759,0.389097,0.4718837,0.5887681,0.6559632
121,0.07527271,-0.03774259,0.1847044,0.001586775,0.1975283,0.9038768,-0.05871688,0.128342,0.4819076,0.5155935,-0.06378779,0.08800943,0.4122684,0.4553541,0.4878566,0.1018839,0.005180943,-0.08450306,-0.07425623,0.1365247,0.1171552,0.05913184,-0.02592293,-0.06776265,-0.0417107,0.1843225,0.247686,0.3721342
122,0.2679352,0.2781156,0.3041857,0.2717057,0.2765906,0.7958115,0.2285111,0.2817416,0.7188249,0.5534766,0.2639932,0.3411538,0.6232257,0.6350645,0.7228866,0.3465021,0.3040408,0.713815,0.6510477,0.7434415,0.6420873,0.3881593,0.3457163,0.5971005,0.6316577,0.5173082,0.7176358,0.7267894
123,0.09365194,0.1825187,0.185681,0.1498604,0.2144287,0.9095962,0.1177752,0.1904009,0.6412983,0.6338841,0.1648794,0.1397629,0.5610545,0.6149205,0.7548336,0.1771457,-0.1744746,0.1857226,0.1022261,0.3886176,0.4394883,0.1455813,-0.008970845,0.2897147,0.3282749,0.2904487,0.5054746,0.2355324
124,-0.0637238,-0.03804116,-0.01626689,0.07165889,-0.01637642,0.5467025,-0.04345925,0.03255251,0.2864057,0.2852126,-0.008633791,-0.01291268,0.3177299,0.2664188,0.465817,0.0136116,0.04050546,0.1667501,0.1777304,0.3337415,0.2690777,0.07817434,-0.001725008,0.1395885,0.1086731,0.2265959,0.4186882,0.4861256
125,-0.01732968,0.01609416,0.3154977,-0.007227627,0.2505786,0.8513246,0.04280916,0.1028169,0.5848055,0.5643166,-0.04675248,0.2707496,0.7025552,0.7431403,0.7712955,0.07023766,0.12459,0.4125348,0.3441003,0.4093146,0.3109083,0.1309373,-0.08801805,0.3156868,0.2252791,0.2368719,0.2726338,0.4217258
128,0.2278669,0.2106759,0.2834323,0.1850709,0.2944345,0.5438158,0.2347143,0.1993911,0.4385657,0.5323607,0.2641133,0.2182625,0.3090713,0.7051365,0.8156323,0.255516,0.1920758,0.19205,0.2797336,0.6166065,0.6054433,0.2897595,0.3020404,0.1859955,0.2220623,0.1938412,0.3854572,0.6155635
129,0.3455528,0.2712051,0.4808525,0.2623129,0.475177,1.01989,0.161774,0.2084112,0.7108521,0.4281896,0.1700427,0.1711771,0.6713865,0.4461829,0.9982073,0.1957597,0.1310154,0.3743534,0.2285793,0.4245422,0.5214843,0.2703505,0.5420057,0.5748799,0.4062569,0.4939956,0.6109667,0.5829343
130,0.03259066,0.1341398,0.1647701,0.143555,0.1748704,1.268775,0.1388579,-0.1287356,0.6253969,0.516164,0.1396658,-0.1728785,0.4999527,0.5038129,1.070763,0.2366689,-0.1232499,0.4516399,0.3883413,0.4992618,0.3780936,0.252893,0.1400557,0.3408291,0.2609977,0.2493755,0.2848162,0.6153492
131,0.1546988,0.1135261,0.361576,0.01481125,0.2602264,0.4453848,0.0597741,0.006637056,0.172659,0.1203605,0.02885618,-0.09605736,0.02483451,0.116457,0.4256347,0.04257897,-0.1965674,-0.002273052,0.01352456,0.3292512,0.3646169,-0.08510908,-0.05300027,0.05958386,-0.03790578,-0.01251537,0.2278275,0.3015805
132,0.4715303,0.3486055,0.372538,0.3897101,0.3506532,0.987882,0.5305783,0.6144373,0.8866839,0.7826403,0.4870584,0.4525306,0.6313674,0.6959817,1.040664,0.5574667,0.4410374,0.7001861,0.7429463,1.096348,0.8931285,0.419743,0.3642252,0.3711135,0.4563856,0.6858106,0.8376255,0.796031
133,0.1657326,0.1938239,-0.02287953,0.1540749,-0.01918426,0.8549167,0.1547215,-0.122137,0.6540388,0.6329772,0.1497905,-0.07381641,0.5337349,0.555051,0.8039681,0.06183817,-0.08099345,0.2979344,0.2604286,0.5131015,0.4514811,0.09169456,-0.2201433,0.2414523,0.2696974,0.2333706,0.3827963,0.2503588
134,0.2769175,0.1357389,0.1385806,0.1056976,0.1196163,0.6748473,-0.02973092,0.04758487,0.4820381,0.4703543,0.04231448,0.07619117,0.2366459,0.3056967,0.4707579,0.02137402,-0.07057866,0.4137745,0.3120646,0.4351074,0.2392332,0.06382956,-0.02789388,0.2757264,0.1885425,0.1387441,0.1787175,0.4466588
135,0.2574104,0.1827717,0.2712492,0.09850148,0.1504031,0.2899335,0.2047288,0.2928894,0.5429897,0.1436045,0.1865506,0.2972797,0.5411704,0.3462503,0.6816205,0.04488439,0.3070961,0.3827423,0.1556012,0.7374855,0.4948661,-0.003155524,-8.44704e-05,0.198622,0.2080253,0.1740441,0.3852971,0.1889085
136,0.2999833,0.2853487,0.3632647,0.2616305,0.2556957,0.7701716,0.2350853,0.1639375,0.5257993,0.5340329,0.2529804,0.1214075,0.5238937,0.5245218,0.8573077,0.1310499,0.001379737,0.4484031,0.5110122,0.6836246,0.5251974,0.1038107,0.07909679,0.3135837,0.1757084,0.1098346,0.2452152,0.2788095
137,0.1741996,0.122015,0.2320286,0.1541703,0.08394496,0.323962,0.1133978,0.06276321,0.5319052,0.4014758,0.1125756,-0.1598278,0.2423753,0.5312337,0.571458,0.1787497,-0.2225113,0.0660106,0.2880208,0.3260039,0.3522464,0.08243714,-0.3781788,-0.004871714,0.2789545,0.1602754,0.4195632,0.5118427
138,0.1172917,-0.006319806,0.04573372,0.1213737,0.006318273,0.3116266,0.01970571,-0.1665549,0.2222458,0.3775595,-0.02254018,-0.1962943,0.1596614,0.452265,0.5139744,0.05277235,-0.1562879,0.2298324,0.3479725,0.4721887,0.4635062,0.02648218,-0.01598654,0.2491885,0.1056953,0.1467725,0.2443466,0.5701675
139,0.199141,0.03184597,0.2795627,0.01833288,0.1552283,1.350883,0.04111835,0.1755271,1.280049,1.169485,0.05840341,0.04016403,0.9329304,0.9769772,1.15913,0.03295956,-0.08421219,0.2694218,0.2903725,0.3342787,0.4683613,0.006565283,0.1550445,0.3454754,0.2696363,0.2485572,0.2755551,0.3057293
140,0.2417097,0.1836026,0.171441,0.1951691,0.1215585,0.5317472,0.2522037,0.1110717,0.4474753,0.4358912,0.2482371,0.09897093,0.5243318,0.6586815,0.7066463,0.1722901,-0.1240656,0.1675558,0.2198949,0.4306217,0.3794344,0.1814491,0.006915346,0.166026,0.2974741,0.2928127,0.4161279,0.6257491
141,0.1740835,-0.0587442,0.0453173,-0.003512525,0.1982504,0.6566992,-0.0604857,0.01196072,0.3832333,0.3929977,0.004480211,0.002110751,0.3557139,0.3636643,0.4745287,-0.02422955,-0.1825841,0.2501277,0.1442067,0.4001735,0.231381,0.07407241,0.100942,0.1906061,0.2530418,0.2057182,0.3441702,0.225913
142,0.1564603,-0.05701477,0.05760006,0.02075338,0.1529341,0.6442397,-0.01816758,0.0989379,0.3947448,0.4365795,0.05971731,0.06414085,0.3422257,0.3905201,0.4505857,0.02236971,-0.09625687,0.2961456,0.2654355,0.4444069,0.3117092,0.1168693,0.1231007,0.1818985,0.2834067,0.2480798,0.395492,0.32878
144,0.1478752,0.2406313,0.367229,0.08452923,0.128885,0.9088678,0.2433155,0.3299183,0.9884703,0.7052261,0.2509144,0.3249261,0.9312644,0.8629981,1.067846,0.29939,0.1786244,0.4404714,0.307395,0.7385113,0.7134752,0.3111421,0.1718827,0.4862182,0.3970791,0.639468,0.6933517,0.7255427
145,0.1695505,-0.03516483,0.2586723,-0.09270212,0.1781698,1.381566,0.01639377,0.2006434,0.9999743,0.8645964,0.003536498,0.2221809,1.011008,0.9461917,0.9559008,0.277368,0.1963502,0.3227807,0.2336345,0.3646093,0.339819,0.2100507,0.2940862,0.3408684,0.2607421,0.3000132,0.4330014,0.551078
146,0.307126,0.1793095,0.2447426,0.2597114,0.2624889,0.8341815,0.1652298,0.2644985,0.6853027,0.7007936,0.1249859,0.2130592,0.6847255,0.6971775,0.8510517,0.1456525,0.02406245,0.2248628,0.3056731,0.312944,0.1516651,0.1841899,0.1537201,0.3017278,0.3099889,0.2960083,0.3631045,0.3920653
148,0.16181,0.03218738,-0.006139089,-0.1119158,-0.1811005,0.5119444,0.1300455,-0.1381633,0.4970664,0.3356648,0.09182211,-0.1847273,0.5029265,0.5926884,0.7555232,0.0782715,-0.1588638,0.4577752,0.3119015,0.7563006,0.5542847,0.08734502,-0.1518545,0.3981571,0.2424882,0.5708864,0.5249944,0.7092065
