Subject,SMA__PCC,VSTR__PCC,VSTR__SMA,Kolling__PCC,Kolling__SMA,Kolling__VSTR,M1__PCC,M1__SMA,M1__VSTR,M1__Kolling,VMPFC__PCC,VMPFC__SMA,VMPFC__VSTR,VMPFC__Kolling,VMPFC__M1
101,0.680069702186645,0.639156789855456,0.678019723728958,0.781609867007865,0.795565634550346,0.750554912490293,0.603778786284548,1.09937788713374,0.454736898943993,0.457926166122501,0.909112177827511,0.438969911400984,0.596864809903003,1.01054727808818,0.194164072142925
102,0.601605780005585,0.535102179690659,0.481564391548053,0.607613919497669,0.490954206700985,0.476776477590454,0.423799575750554,1.06474158892989,0.359683390998731,0.124987554779719,0.534821436209105,0.179498850734184,0.476962918396719,0.862204888603107,-0.0620380379300011
105,0.437814604063917,0.311554529447143,0.619133016381532,0.562798541578036,0.713544031103865,0.584888477224184,0.131229339238707,0.836257665000974,0.377466635120242,0.132583632925237,0.483302965541384,0.317209043415233,0.562489465721425,1.07010352404375,-0.0263831669927447
106,0.0494827244624801,0.381394747303087,0.349913847471113,0.292739238928527,0.537233370061675,0.337167698713637,0.121535812192563,1.51633106788804,0.336717760731235,0.367303705142363,0.936315906026826,-0.283544011876649,0.341489370860656,0.203591560851499,-0.226619846742532
107,-0.16880715623995,0.266824807358126,0.508606501254477,0.141159134218415,0.607371426241175,0.50347955885447,-0.059295722766484,1.18258355490087,0.452990498208468,0.43397417068264,0.900888231681469,-0.20763989006526,0.3241291080009,0.237932564604086,-0.138742502661615
108,0.090880943788586,0.304881779276273,0.414763858142117,0.137913972632088,0.325469248113619,0.278302738262328,-0.00869428179040772,0.932211477801102,0.289262540903597,0.271664131274164,0.636051508504562,-0.0725224073720845,0.321733386264762,0.304896918669084,-0.22646668004988
109,0.684194098842426,0.559394631029187,0.721926298910291,0.827219076624938,1.1286353828732,0.838926258860184,0.54288064501824,1.22196831664318,0.524143399303747,0.787473596997946,0.582800680870778,0.764277289893206,0.847983113878165,1.07998396106454,0.523085332964755
110,0.251031339179286,0.410036873956471,0.386721119915239,0.471653840846688,0.910636982748208,0.460048924074655,0.0245547314988052,0.932720340705829,0.297545870805117,0.409489925540535,1.01967576228249,0.102436451192136,0.507142043411106,0.465238552217823,-0.0884158072695403
111,0.0279372099019407,0.194040207628641,0.298932318796321,0.392417712905835,0.156010972953092,0.332808138877626,-0.062402374409912,1.19830185188661,0.221766206432213,-0.0420597269977927,0.72584483840341,-0.310108888209331,0.20729474224837,0.662255504679205,-0.435585554257522
112,0.0269088210471181,0.291480350858924,0.385194555780553,0.33290638375226,0.512462220359415,0.373250392133398,-0.271835135439334,0.838828569247402,0.281429474882663,0.151975066514649,1.00105515504987,-0.118333098155093,0.274085565445468,0.309370930523623,-0.38504885293105
113,0.342804305605105,0.202163887305462,0.300270104661638,0.450935888298769,0.583078196343166,0.281025074413186,0.247212660909794,0.946629955114234,0.271296396846101,0.206014695333103,0.481527158012215,0.16441561351788,0.223608506432846,0.781769328555823,-0.121536610055669
114,0.259458452157595,0.181646977125208,0.416366613449054,0.402370037054122,0.584247499287048,0.396699393780111,0.138468091299366,0.583288527308887,0.109575105826777,0.0551321782211588,0.476010356307583,-0.0125504941341036,0.250355288923484,0.542074796377696,-0.294916478558704
115,0.195228764187189,0.335521263625642,0.595505950560526,0.601937056731292,0.45417771017335,0.445658186023585,0.107631969239468,1.14576948987886,0.509448635078309,0.262419737990002,0.815398255817451,-0.0026820511213144,0.292222958578336,0.53599016732968,-0.0767527812607563
116,0.0763399374151237,0.309443389781692,0.576491271253778,0.366446111319618,0.466528410491167,0.450208490291254,0.124931657721361,1.09549143938592,0.565564259836764,0.244327686573402,0.74506031215384,-0.210129781014715,0.212252766112324,0.294604204866606,-0.105616951826286
117,0.294769462507979,0.285832287667118,0.532198168619648,0.542083778759133,0.758223900117463,0.334102916713231,0.229531211010679,1.12927054737777,0.558413587145795,0.483320776870434,0.814451768508055,0.077941409895672,0.181653049373903,0.529776105295716,-0.0564714587442022
118,0.900100070375084,0.697016934239735,0.814486200961174,0.797766391978206,0.811752347556962,0.71906077404848,0.425950493619754,0.944053027146702,0.581011453521593,0.295977626128231,0.675978301883587,0.292100127366479,0.442593725988565,0.631945271480135,0.0516047864923553
120,0.252484372309047,0.512402078020194,0.818017320131545,0.561427518996611,0.831936190097768,0.764194942534139,0.277962150662423,1.59871653636938,0.730473139850695,0.828226053399472,1.12904810996767,0.15384618063827,0.493129094261079,0.58051346407537,0.156574230576659
121,0.798424904957642,0.522736684173499,0.716303247492601,0.862695964330482,1.06645992581107,0.532145129081483,0.607464642227214,1.07705996865307,0.643148931417015,0.603953011297136,0.781817956747666,0.352246536735901,0.283244985391689,0.587287165249903,0.128339434589496
122,0.4531951006791,0.567231814781546,0.603250352339542,0.521384473446982,0.497859375586417,0.426824056887967,0.252213516563229,1.17697908876826,0.52877978985018,0.236298992289251,0.660420676631965,0.00940316031086377,0.329278582717763,0.503281274787388,-0.0798466542763435
123,0.204315416772749,0.312341462918889,0.719116932267602,0.354177311389122,0.80135539122584,0.583246969164935,0.15388565672893,1.04710741814483,0.556029406349599,0.455121892532932,0.817187612535059,0.209782579303651,0.325960222283616,0.516467831572573,0.0758434002091728
124,0.658744424615266,0.583464733855945,0.499804723743662,0.612179769791598,0.70942577698267,0.830945530710363,0.485654697187491,0.868579838190448,0.342543549234097,0.345524888042411,0.160961805128679,0.0989549810212293,0.00577260794183931,-0.0918605934880202,0.174210536792876
126,0.353210306769824,0.507775481691189,0.581445276378429,0.439211133599749,0.563619667376834,0.561906524852555,0.255067626981938,0.847121368211807,0.276690667927037,0.139406575883033,0.715434019111294,0.17823696794053,0.50571650729221,0.643618603866602,-0.0178145473260552
127,0.518020095282756,0.539624415002018,1.11125537078839,0.50518082769569,1.16951506404641,1.02911493439954,0.363358776600109,0.740184252946059,0.373215552922815,0.347553802469169,0.596894023449726,0.837041441092817,1.09704459671803,1.21394473099732,0.137631741542587
128,0.698732223636557,0.718086879084976,0.897165890429103,0.651440811206688,0.776203871731711,0.678892532017531,0.444446621786645,1.26250907336238,0.637608312166907,0.488217965685964,0.986507335867183,0.342980047941815,0.542258830419547,0.559455456344161,0.0698451519258301
129,0.241764480644748,0.267626013130335,0.54146403322398,0.590360291326685,0.344284110990734,0.314587296179293,0.0505185543727626,0.670441049775639,0.368167030145263,0.081280245589576,0.774759507734391,0.0910830747518561,0.301115134337951,0.675412153970091,0.049847699844406
130,0.554467734163164,0.603864258036716,0.685671299950474,0.760778207137235,0.922342968657177,0.677378772761999,0.397568346338425,0.954235969906135,0.452902801841142,0.4406317295124,0.874166644063766,0.511657058515701,0.625774111607793,0.971960684528029,0.212285840273359
131,0.382119273304954,0.372543913230492,0.577967521767747,0.696133081992277,0.647360872888303,0.499429144696638,0.340656052674878,1.03557092436714,0.461013433230916,0.33482125815956,0.659414743200435,-0.0666332974363711,0.192079921901941,0.451473536176743,-0.113293354779905
132,0.727138966994994,0.729599539458456,0.857162978058298,0.920801453145714,1.26451277596899,0.997372604943551,0.443384743576219,0.834069479100348,0.504367207927537,0.549391692627558,1.01378591686103,0.736775433684198,0.890120349630659,1.168793089109,0.310064330360454
133,0.23289090487962,0.295682339402427,0.497082847295727,0.435886868246598,0.601126814784916,0.376273725260316,-0.0637099505077736,0.653028689310575,0.40175736307318,0.136201159709264,0.740854319017555,0.0317786652008386,0.317726343357838,0.408565800127425,-0.182537523236288
134,0.54941893537001,0.477981514698156,0.830687022406435,0.529748899314702,0.831040942978657,0.826122623804643,0.414048599614063,1.02673977828238,0.696231230453118,0.53265092138296,0.556193100053941,0.585685686412147,0.795743724176408,1.14147621135671,0.451431856841766
135,-0.0246331279541201,0.0678661942621751,0.430085403826711,0.432750847582736,0.569007646964949,0.350749702014984,-0.129844515258406,1.25109858306555,0.333746899057911,0.273060527683186,0.657188169203743,0.0411259987519758,0.251955838349684,0.579697194325318,-0.129724284467088
136,0.1713389220319,0.143223924943776,0.584756177053123,0.762778214619776,0.323054393328,0.266002205332436,-0.0561634610634369,0.937281322772246,0.489033369318069,-0.0564499944690054,0.709385538827283,0.288535962439903,0.37259639630252,0.925355830748617,-0.0403747245249301
137,0.466765969893202,0.617553857646096,0.766913037527209,0.549435826437045,0.687490091679965,0.744894487026929,0.516641332343017,1.10006885048147,0.666606627640581,0.376576542783662,0.661199232230019,0.449322893987234,0.752636191426111,1.00599229266337,0.331688834845882
138,0.24669462810899,0.388887096133378,0.507792989772062,0.64365881007591,0.513102406817831,0.463760768060217,0.224455459784189,0.729199438530198,0.453224577464359,0.249501556716015,0.68189521902702,0.0868003060726036,0.366947294209832,0.644897487189567,0.0377483592987055
139,0.472101512440772,0.473027912553396,0.678652096761016,0.697849123388255,0.816358223884703,0.57153805017796,0.306252950679055,1.23677431903498,0.566396448341517,0.453758869143911,0.87394557279338,0.240395172939441,0.574495112749659,0.599644466649563,0.130859725505698
140,0.227161657921954,0.398362924403853,0.636236200648363,0.277770498650347,0.99817234433712,0.57115744395946,0.156880551156014,1.13535955369217,0.569168017013552,0.546444988822631,0.822727289707353,0.143405630707983,0.277895250072305,0.332610853725004,-0.0180859234313316
141,0.498928809050995,0.524195003788464,0.728452475732083,0.568152543798797,0.887482536861187,0.82389904982114,0.518077280238667,1.32060411109767,0.552164398463681,0.601783220386571,0.657337363508651,0.314311681222482,0.684401085329157,0.761826968145771,0.191232956179291
142,0.841183237541657,0.669261282386009,0.679648589298957,0.647270639987665,0.770764702379422,0.515186103929694,0.733449164846593,0.997490182097859,0.544558619439135,0.425196602687645,0.4412243342861,0.145638083808306,0.360546429651611,0.471509122457336,0.0126171234568526
144,0.676961775180409,0.875148227413176,0.855128257004055,0.781019574992769,1.20517571672481,0.981195103503302,0.509140152893445,1.04682460587045,0.579429894163667,0.573716219552281,0.745399817762767,0.426043381703267,0.653604165415109,0.678295593204317,0.271591762141752
145,0.32241097628756,0.455555900614305,0.559371575769722,0.307448089414254,0.76798543208382,0.30938638214588,0.111582041356796,0.916598842307166,0.506431620825477,0.32187607904215,0.651009499140292,0.0399838675800315,0.291688989785696,0.36767415916633,-0.0889955227750854
146,0.441823675816305,0.539523706202668,0.699179454749715,0.308463006581471,0.650149403834783,0.481937140012404,0.438247037549305,1.47236752157699,0.679277466591826,0.562581155495844,0.56215806071575,0.0132094826196089,0.334323255678471,0.317408995397732,-0.0238440891423694
147,0.575791638650155,0.602423447612002,0.476609141855703,0.664417587234295,0.670447173338442,0.577155509055114,0.444757395292983,1.17806295055053,0.356281711509995,0.439671775239409,0.624634218695272,0.135066083972461,0.541861534194775,0.503406512728536,-0.0498661395243508
148,0.563824958986954,0.482827183219475,0.925456347986733,0.715321355180038,1.06446902619104,0.803992256597761,0.424393449086158,0.903615520197228,0.608495328968717,0.447051303423322,0.651284844863809,0.556650638884328,0.700775374520881,1.01994955171206,0.137925495613676
